agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,62,100,accumulated_reward,6.35
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,62,100,available_budget,45.05
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,62,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,63,100,acceptance_rate,0.26705017000000003
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,63,100,accumulated_reward,6.48
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,63,100,available_budget,44.97
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,63,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,64,100,acceptance_rate,0.26548569
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,64,100,accumulated_reward,6.54
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,64,100,available_budget,44.92
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,64,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,65,100,acceptance_rate,0.26623921
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,65,100,accumulated_reward,6.63
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,65,100,available_budget,44.84
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,65,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,66,100,acceptance_rate,0.26635798
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,66,100,accumulated_reward,6.77
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,66,100,available_budget,44.74
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,66,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,67,100,acceptance_rate,0.26540882
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,67,100,accumulated_reward,6.82
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,67,100,available_budget,44.7
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,67,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,68,100,acceptance_rate,0.26457339
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,68,100,accumulated_reward,6.9
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,68,100,available_budget,44.65
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,68,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,69,100,acceptance_rate,0.26413884
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,69,100,accumulated_reward,6.97
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,69,100,available_budget,44.58
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,69,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,70,100,acceptance_rate,0.26516277
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,70,100,accumulated_reward,7.06
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,70,100,available_budget,44.5
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,70,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,71,100,acceptance_rate,0.26600513
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,71,100,accumulated_reward,7.19
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,71,100,available_budget,44.4
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,71,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,72,100,acceptance_rate,0.2664343
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,72,100,accumulated_reward,7.3
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,72,100,available_budget,44.33
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,72,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,73,100,acceptance_rate,0.26457271
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,73,100,accumulated_reward,7.34
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,73,100,available_budget,44.3
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,73,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,74,100,acceptance_rate,0.26501263
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,74,100,accumulated_reward,7.43
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,74,100,available_budget,44.21
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,74,100,threshold,0.0
